Jumlah Debarkasi Penumpang,,,,,,,,,,,,,
,Jumlah Debarkasi Penumpang Penerbangan Domestik di Jawa Tengah (Orang),,,,,,,,,,,,
,2022,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Nopember,Desember,Tahunan
Jumlah Penumpang,80474,59961,79484,96664,116276,105090,122418,110828,106317,113527,119563,128311,1238913
