Jumlah Debarkasi Penumpang,,,,,,,,,,,,,
,Jumlah Debarkasi Penumpang Penerbangan Domestik di Jawa Tengah (Orang),,,,,,,,,,,,
,2021,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,Nopember,Desember,Tahunan
Jumlah Penumpang,41927,38171,62074,71827,64344,74962,14218,18195,41525,59603,73106,84834,644786
