Berangkat/Datang,,,,,,,,,,,,,
,Jumlah Penumpang Angkutan Laut di Provinsi Gorontalo (Jiwa),,,,,,,,,,,,
,2017,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Berangkat,254,34,361,249,306,531,138,339,658,544,439,762,4615
Datang,701,76,605,505,710,868,119,683,815,487,409,556,6534
